"network","mutualism","obs_mod","std_mod","p"
"AE_Bluthgen_etal_2004_bin","AE",0.303672,-2.24833565244793,0.97
"AE_Rico-Gray_benito_bin","AE",0.36687,-0.0596982007688756,0.46
"AE_Rico-Gray_mancha_bin","AE",0.465825,2.54047503533571,0
"AE_Rico-Gray_xalapa_bin","AE",0.745562,2.67451413596234,0
"AE_Rico-Gray_zapo_bin","AE",0.45536,3.23859726458361,0
"AM_Davidson_etal_1989_bin","AM",0.778393,2.1326177798627,0.01
"AM_Fonseca&Ganade_1996_bin","AM",0.674074,2.1808582658006,0.03
"AM_Izzo_mtcCOLpen_bin","AM",0.693878,2.17137171986482,0
"AM_Izzo_mtcDIM100_bin","AM",0.77686,1.84741427015155,0.03
"AM_Izzo_mtcFLO_bin","AM",0.685121,1.55761424297623,0.08
"AM_Izzo_mtcPA10_bin","AM",0.790123,2.19367830042589,0
"AM_Izzo_mtcPAcamp_bin","AM",0.78125,1.98456245788133,0.02
"AM_Izzo_mtcPOW_bin","AM",0.777778,1.84847457923324,0.04
"CC_Johnson&Ruben_1988_bin","CC",0.360983,0.583106731513192,0.23
"CC_Sazima_bin","CC",0.25896,-1.44407562614831,0.95
"CC_Wicksten_1998_bin","CC",0.301769,-0.849372088099179,0.79
"FA_Ricciardi_etal_2010_Bahowo_bin","FA",0.44,0.349633771742318,0.33
"FA_Ricciardi_etal_2010_Bualo_bin","FA",0.4375,0.742326831301171,0.2
"FA_Ricciardi_etal_2010_Fukui_bin","FA",0.333333,0.0566287144567935,0.39
"FA_Ricciardi_etal_2010_JalanMasuk_bin","FA",0.367347,0.286838014794979,0.29
"FA_Ricciardi_etal_2010_Kasegaran_bin","FA",0.408163,0.555172663892763,0.2
"FA_Ricciardi_etal_2010_Likuan1_bin","FA",0.387755,0.528921882257071,0.2
"FA_Ricciardi_etal_2010_Mandolin_bin","FA",0.555556,1.40026438551731,0.09
"FA_Ricciardi_etal_2010_Mike_bin","FA",0.387755,0.439636346107175,0.25
"FA_Ricciardi_etal_2010_Sachiko_bin","FA",0.472222,1.08502470309761,0.17
