"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_A",4.46820904733613,3.6444851453416,8.8513430277817,4.26797941327095,4.55197143601254,7.17280451208353,8.16539191175252,5.30347101623192,9.80840678792447,6.24283843440935,2.39126785192639,0.950941327027977,9.31230335263535,3.97024329984561,7.30732086114585,4.58102772478014,8.79108411958441,0.79959804425016,3.99354079738259,3.23730637785047,9.14060866925865,6.04802383342758,8.04578927811235,7.34244667459279,4.82646118383855,7.62118627782911,2.18400869052857,7.77583382790908,6.40998068964109,8.93800562014803,7.68506501335651,6.87702111899853,2.77947149472311,3.77422631252557,7.43482398334891,9.5282446150668,7.58732779417187,5.94565471168607,7.60486128274351,8.3263679035008,8.47221794771031,3.13165377359837,9.75963047705591,6.3595769694075,2.83903760137036,2.75260804221034,7.39310892065987,2.05228698672727,0.975831979885697,0.675607938319445,1.12982097314671,7.21630341373384,7.60908683529124,0.523834601044655,2.95245917048305,0.98812652984634,2.44365532649681,2.23253416595981,5.33474912401289,9.4152151606977,9.51661873143166,9.08521282719448,2.811822402291,0.159179058391601
"1",3.21758616250008,3.03204999770969,0.692625136580318,8.49878582172096,0.410418251994997,7.41066446527839,3.7193155917339,2.26574749220163,1.65256939129904,1.72722453484312,6.07851386070251,8.41294364770874,4.86486548790708,8.08864902704954,9.89416340366006,3.33707016892731,0.971798568498343,3.1549912574701,0.119349386077374,8.5590274981223,5.48338380642235,2.72277895594016,1.58215522067621,9.01900294935331,0.718522265087813,8.12062329612672,0.365089774131775,1.87972447136417,6.22270412743092,0.371088511310518,9.60117108654231,2.66660026740283,4.57438423996791,3.15652055665851,8.8774683047086,4.13113714661449,7.77835942804813,0.482471440918744,5.18144640605897,8.24894923483953,6.2731437664479,0.472457422874868,1.28083451418206,7.49580767005682,3.03276649909094,9.73164878319949,4.97967217350379,6.14164619008079,6.86522064730525,5.43301603524014,4.29384422022849,2.97197502106428,8.79501784220338,5.57140890043229,4.87477435730398,8.00611215876415,0.0941871246322989,3.86511418269947,3.67939282907173,8.75677327858284,2.71415150724351,9.73841909319162,2.70491157658398,2.25299158832058
"2",3.58490406772448,3.12827327780935,2.01147052668489,7.72942430365774,1.06773283086145,7.22320318783685,4.33956540359112,3.1844294562996,4.51450776119787,2.59921328459149,5.64936979535649,7.13561333347318,5.67560587163889,7.29406088936116,8.7453734253853,4.01563166909156,3.42299222320448,2.3842774339832,1.72987819332709,7.28765620728055,6.23403996553976,4.95302884305337,3.40080521193574,6.51053150517125,3.85122105135755,8.08522667082482,3.22489480787603,3.99449197417994,6.29933797990127,2.59265352683996,7.34372348592173,5.11861737572333,5.54691159231019,2.3384133091042,7.03128792345795,4.4904355576831,7.86905491895163,1.84354020221383,5.18036227133968,8.10383257093333,6.71608385656399,1.24703373629574,3.25379574399541,6.97838010875841,2.96581299958027,6.43432715745868,4.75815181965776,5.66641537026334,5.56187785098863,4.78709282112224,3.25457358078811,3.83467007109106,8.51872550374361,3.97885870476303,3.64522179089366,6.91922407457052,1.55375042200971,4.06967718821688,3.7662742902825,8.76232360939068,5.80140381561273,6.52373108501592,3.07592669878876,2.26602776496424
"3",3.82986529603734,3.3016074771095,3.45672703393566,7.21748373803394,1.76568086195351,7.0968687313368,4.82162112863063,3.71477339674416,5.86010726713652,3.33659466906596,5.08209932731312,6.30034305839838,6.44119002747274,6.60029029648363,8.21279807582877,4.26460456776884,4.80861437969968,2.01588272619328,2.51326962569367,6.55528745890763,6.6083940302377,6.11256796287675,4.49136327655543,6.37319147942609,5.42150433411123,8.01689760920113,4.70212302849157,4.97343061452308,6.23747348132783,3.7079189759218,6.36192177015476,6.35843136375993,5.97140467443349,2.38451671396564,6.20911142326975,5.02870483138419,7.56547445719858,2.83462427486428,5.22742801415736,7.77824505968689,6.86904415580375,1.91663566894811,4.44209796347606,6.6325388336496,2.9819886409738,5.07624785674154,4.7498723821987,4.9693337354488,4.45687444446495,4.28907751516102,2.90013200157643,4.56249476726846,8.10471905962793,3.22572854409342,3.29727024194367,6.10285589116266,2.00173552339015,4.31312305289901,3.93929951815532,8.48690716159113,6.57750782445975,5.35463473083908,3.47883761330113,1.99856942573262
"4",4.02471404350805,3.48275326020322,4.49589642115133,6.75852060315113,2.55629033299093,6.96582718777394,5.26369463595592,4.05883028134778,6.4740685978158,3.75846357448624,4.58129793984076,5.48124153799381,6.96571543134242,6.00798816048699,7.84367075368696,4.40242026381077,5.51460212507257,1.90486242814788,2.91899598752632,6.05852762146273,6.79356680740042,6.59626263149062,5.38995446526975,6.55994226933261,6.12382788601332,7.86898605506898,5.34458631872775,5.28293691948366,6.13142168652889,4.28431832064059,6.07303669118719,6.8628378554094,6.06600326242379,2.74546508986948,5.97385065474957,5.60182118642955,7.21685677368992,3.5620538557308,5.32581997202725,7.43381779770784,6.86829072244104,2.5028125295268,5.33257785192333,6.44237947664867,3.14582485432411,4.58514031526485,4.98586379529803,4.64807028447251,3.90397274299847,3.96673878045798,2.89397541447574,5.18128177950378,7.68222294232736,2.97299334520073,3.32335320530227,5.45720188420349,2.10945565611343,4.37833350752038,4.11162211427243,8.1673186383433,6.93677841488136,5.26213717262059,3.84935069355117,1.73452261838445
"5",4.17455936659188,3.63293225282267,5.17176916068752,6.34486123040747,3.24307133518491,6.83056249436558,5.6799205890394,4.35921957628411,6.90937319223123,4.060159311083,4.25346121986476,4.93506105596315,7.21935368750917,5.48787811226452,7.53895385159626,4.56554014213596,5.9878821471091,1.84672530823142,3.20173113362125,5.76887931038978,6.88085086536611,6.72261205868605,6.13676103436895,6.78170841584196,6.37128093578039,7.67572838459219,5.55122387224531,5.30080349183021,6.03089694257483,4.63379351276762,6.13798657233364,6.989148469508,5.99307072130288,3.17724237469515,6.05154850593365,6.02532040350726,6.99241759949947,4.13338662446656,5.4514590940573,7.19966317029347,6.84056083346503,3.00812318720133,5.8781618025093,6.31478729699064,3.33861864102946,4.25019754784766,5.30177183031404,4.43353228175718,3.65645082075328,3.70682557451918,3.00615518042676,5.68570161378207,7.24193818582286,2.99059465535818,3.46603084601816,4.93195592403626,2.12031400857792,4.2626378967623,4.26585543977586,7.84530698973536,7.18640319658985,5.57343255202792,4.18964386089585,1.56365588014703
"6",4.3001961157408,3.76523975791916,5.69573066439432,6.04169854246111,3.70781872111773,6.73054420401316,6.03010863237069,4.63827693522689,7.20006657133922,4.32362955897374,4.00954721599299,4.61250015543352,7.30122373674229,5.07665640881498,7.30981009394732,4.73766798653217,6.36098393654526,1.80761915003908,3.44148645076023,5.64639491727309,6.91582833516262,6.71030113711016,6.60391192960934,6.98850355813371,6.42064048402515,7.4992524380171,5.57751891123183,5.20444057805944,5.94864484031048,4.87668613858593,6.32309168951087,6.97270974562552,5.87650171046638,3.5920018337854,6.23792336204279,6.3216614832092,6.86233087275231,4.57607342483561,5.58743833016898,7.07597636865912,6.8265307040415,3.39094382740654,6.14383700951172,6.19145347012738,3.52041771003515,4.00446641289805,5.59408322128613,4.25404769806211,3.5369261672155,3.53909444168976,3.15103896717378,6.06156867386836,6.80107137303582,3.07031528503539,3.6411588742198,4.49184526539399,2.09648206947351,4.0727148816779,4.39520695056992,7.53848932624595,7.39046725700597,5.96348768075785,4.50575533446095,1.45795804483255
"7",4.41427164565816,3.883530256887,6.12534552455907,5.8383442765721,4.00629600505214,6.68008425385508,6.29719016131835,4.8900209762881,7.37686260052574,4.57068641675364,3.82912383798005,4.3881642162414,7.3026137070459,4.80023937637084,7.15117847679389,4.90164058283544,6.64857782069363,1.77709344638281,3.65654348986101,5.61321938278676,6.90986492795271,6.65987198744468,6.86141154040519,7.17027035968368,6.40467172817662,7.36984724167239,5.54715101175042,5.08009755796167,5.87464110914624,5.06135952302246,6.5213937001297,6.91901457384229,5.77683473953189,3.9542811124557,6.43601519969874,6.54731317434716,6.78540288821584,4.89465428945969,5.72402493924915,7.02413303597834,6.83543135517687,3.64651937831275,6.24745259458237,6.07015121054178,3.68044887006589,3.86420109586266,5.82797341942836,4.11077890907414,3.46020199212429,3.45369252730093,3.3005246327328,6.32209764290143,6.42851150991289,3.15543955641055,3.82279098473529,4.13130587303867,2.06364643174581,3.86980542668676,4.50367845539099,7.27903777103822,7.56577466292454,6.34098197946782,4.78664143880408,1.39145653088616
"8",4.51838059910754,3.98432038260661,6.47021563288814,5.70687283882434,4.20943749664998,6.66829876415709,6.49178761924498,5.1059605699847,7.48120136495097,4.79027704482792,3.70290437317527,4.22694178613795,7.27745448702074,4.62554125496863,7.04600372794967,5.05093290257037,6.86480012663687,1.75009441191133,3.84925983801161,5.62062088299842,6.87232809517783,6.60821265246013,7.00479062914906,7.32696998271001,6.37903403733075,7.28864216160523,5.50912251656349,4.97537659787909,5.80014814357299,5.20900263385501,6.70063634597206,6.86559697053943,5.71026120295515,4.24753746129654,6.61565393495654,6.73176733284529,6.73595895286553,5.11727808023699,5.85299941002111,7.01206283870817,6.86141586034212,3.80921585213888,6.27087947698197,5.96161933337954,3.81647795254513,3.80063734767649,6.00937830499209,4.01463952432958,3.39998031022769,3.41129024433653,3.44446463419481,6.50059371451992,6.16957739909338,3.23214028422918,4.00059864418397,3.85620212078113,2.0318177565675,3.6865131777641,4.59772731926387,7.0788020979121,7.71774672271854,6.67962922593147,5.02079695698956,1.34751128246869
"9",4.60982264508792,4.06708119666313,6.74016192858723,5.62458625553335,4.355041342415,6.67960541054371,6.63269911958939,5.2835072319707,7.54423341411704,4.96774803428386,3.61520317945612,4.11401870521851,7.25060229846494,4.51238492316427,6.97682332902172,5.18403673492459,7.02807385410604,1.72551630896772,4.01909494760124,5.64462788581893,6.81690973930244,6.56526877920471,7.09178307345804,7.46117403987856,6.3617371062632,7.24489108289084,5.47837819595623,4.90306147254868,5.7251963716046,5.32972340919228,6.85559764730312,6.82194948195736,5.67359378685938,4.47291660575468,6.77157680123347,6.88769466235011,6.70291681261186,5.27598661060281,5.96951457056169,7.02107788276909,6.89661395450846,3.91363466287244,6.26401118106902,5.87076961389402,3.92988773470203,3.78210319887452,6.15199646943353,3.96295970023948,3.35187398333061,3.38954542405184,3.57637407762966,6.62629635038629,6.01969430112885,3.29825580697799,4.1659589418709,3.65842017381643,2.00353945066236,3.53671167953249,4.68111262588938,6.93347479895381,7.84919940778492,6.96946254087761,5.2061781121663,1.31604489104527
