"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0,"AE_Rico-Gray_benito_bin","A",0.783789220776485,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AE_Rico-Gray_benito_bin","B",0.774566385463398,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AE_Rico-Gray_mancha_bin","A",0.770007977120536,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AE_Rico-Gray_mancha_bin","B",0.775971467076232,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AE_Rico-Gray_zapo_bin","A",0.78181468655275,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AE_Rico-Gray_zapo_bin","B",0.78101442333991,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcDIM100_bin","A",0.853420089623373,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcDIM100_bin","B",0.864458349428874,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcFLO_bin","A",0.839643370359237,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcFLO_bin","B",0.831510597009207,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcPA10_bin","A",0.874335795316834,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcPA10_bin","B",0.878559149729208,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcPAcamp_bin","A",0.852327083374877,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"AM_Izzo_mtcPAcamp_bin","B",0.849087348574798,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"CC_Sazima_bin","A",0.802367822154876,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"CC_Sazima_bin","B",0.784989527375827,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"CC_Wicksten_1998_bin","A",0.794528628582952,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"CC_Wicksten_1998_bin","B",0.784886772663354,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"FA_Ricciardi_etal_2010_Bahowo_bin","A",0.824927590208533,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"FA_Ricciardi_etal_2010_Bahowo_bin","B",0.812971436807522,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"FA_Ricciardi_etal_2010_Bualo_bin","A",0.804482656830897,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
